Gene	Protein.class	TF	Transporters	Receptors	Enzymes	Peptidase	Kinase	Cancer	RBP
ZNF207	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	1	0	0	0	0	0	0	0
UQCRC1	Enzymes, Predicted intracellular proteins	0	0	0	1	1	0	0	0
STARD3NL	Predicted membrane proteins	0	0	0	0	0	0	0	0
CD9	Cancer-related genes, CD markers, Plasma proteins, Predicted membrane proteins, Transporters	0	1	0	0	0	0	1	0
HHATL	Predicted membrane proteins	0	0	0	0	0	0	0	0
NCAPD2	Plasma proteins, Predicted intracellular proteins	0	0	0	0	0	0	0	0
IFFO1	Predicted intracellular proteins	0	0	0	0	0	0	0	0
GIPR	G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters	0	1	1	0	0	0	0	0
PHF7	Predicted intracellular proteins	0	0	0	0	0	0	0	0
SEMA3G	Predicted secreted proteins	0	0	0	0	0	0	0	0
NISCH	FDA approved drug targets, Predicted intracellular proteins	0	0	0	0	0	0	0	0
STAB1	Predicted membrane proteins	0	0	0	0	0	0	0	0
FUZ	Predicted intracellular proteins, Predicted membrane proteins	0	0	0	0	0	0	0	0
SLC6A13	Predicted membrane proteins, Transporters	0	1	0	0	0	0	0	0
IDS	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	0	0	0	1	0	0	0	0
PRSS3	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	0	0	0	1	1	0	0	0
ZNF200	Predicted intracellular proteins, Transcription factors	1	0	0	0	0	0	0	0
CD4	CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	0	0	0	0	0	0	0	0
LRRC23	Predicted intracellular proteins	0	0	0	0	0	0	0	0
BTK	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	0	0	0	1	0	1	1	0
HFE	Disease related genes, Predicted membrane proteins	0	0	0	0	0	0	0	0
SCMH1	Predicted intracellular proteins	1	0	0	0	0	0	0	0
FYN	Enzymes, Plasma proteins, Predicted intracellular proteins	0	0	0	1	0	1	0	0
HIVEP2	Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	1	0	0	0	0	0	0	0
FMO1	Enzymes, Predicted membrane proteins	0	0	0	1	0	0	0	0
ELOA	Plasma proteins, Predicted intracellular proteins	0	0	0	0	0	0	0	0
LYPLA2	Predicted intracellular proteins	0	0	0	0	0	0	0	0
CLCN6	Plasma proteins, Predicted membrane proteins	0	0	0	0	0	0	0	0
MRC2	CD markers, Predicted intracellular proteins, Predicted membrane proteins	0	0	0	0	0	0	0	0
NME1-NME2	Predicted intracellular proteins, Predicted secreted proteins	0	0	0	0	0	0	0	0
SLC6A7	Predicted membrane proteins, Transporters	0	1	0	0	0	0	0	0
TSPAN9	Predicted membrane proteins	0	0	0	0	0	0	0	0
BTBD7	Predicted intracellular proteins	0	0	0	0	0	0	0	0
APBA3	Predicted intracellular proteins	0	0	0	0	0	0	0	0
MKS1	Disease related genes, Predicted intracellular proteins	0	0	0	0	0	0	0	0
ABHD5	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	0	0	0	1	1	0	0	0
ANOS1	Disease related genes, Predicted secreted proteins	0	0	0	0	0	0	0	0
AKAP8L	Predicted intracellular proteins	1	0	0	0	0	0	0	1
MBTD1	Disease related genes, Predicted intracellular proteins	0	0	0	0	0	0	0	0
UTP18	Predicted intracellular proteins	0	0	0	0	0	0	0	1
RNF216	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	0	0	0	1	0	0	0	0
TTC19	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	0	0	0	0	0	0	0	0
PTBP1	Plasma proteins, Predicted intracellular proteins	0	0	0	0	0	0	0	1
DPF1	Predicted intracellular proteins	1	0	0	0	0	0	0	0
SYT7	Predicted intracellular proteins, Predicted membrane proteins	0	0	0	0	0	0	0	0
LARS2	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	0	0	0	1	0	0	0	1
PIK3C2A	Enzymes, Predicted intracellular proteins	0	0	0	1	0	0	0	0
PLAUR	Cancer-related genes, CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	0	0	0	0	0	0	1	0
ANLN	Disease related genes, Predicted intracellular proteins	0	0	0	0	0	0	0	0
WIZ	Plasma proteins, Predicted intracellular proteins, Transcription factors	1	0	0	0	0	0	0	0
RABGAP1	Predicted intracellular proteins, Predicted membrane proteins	0	0	0	0	0	0	0	0
